Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Japan,JPN,2005,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1910724
Japan,JPN,2004,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1934114
Japan,JPN,2003,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1957504
Japan,JPN,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1980894
Japan,JPN,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2004284
Japan,JPN,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2027674
Japan,JPN,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2120000
Japan,JPN,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2120000
Japan,JPN,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2121000
Japan,JPN,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2122000
Japan,JPN,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2123000
Japan,JPN,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2060000
Japan,JPN,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2041000
Japan,JPN,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2003000
Japan,JPN,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1966000
Japan,JPN,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2142210
Japan,JPN,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2049120
Japan,JPN,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1984590
Japan,JPN,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1904070
Japan,JPN,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1833900
Japan,JPN,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1853600
Japan,JPN,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1650300
Japan,JPN,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1584300
Japan,JPN,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1526000
Japan,JPN,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1412900
Japan,JPN,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1471400
Japan,JPN,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1095800
Japan,JPN,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1095860
Japan,JPN,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,952000
Japan,JPN,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,832000
Japan,JPN,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,721090
