country_name,country_iso3,year,land_use,indicator_code,area
Japan,JPN,2020,Agricultural land,AG.LND.AGRI.K2,4372000
Japan,JPN,2019,Agricultural land,AG.LND.AGRI.K2,4397000
Japan,JPN,2018,Agricultural land,AG.LND.AGRI.K2,4420000
Japan,JPN,2017,Agricultural land,AG.LND.AGRI.K2,4444000
Japan,JPN,2016,Agricultural land,AG.LND.AGRI.K2,4471000
Japan,JPN,2015,Agricultural land,AG.LND.AGRI.K2,4496000
Japan,JPN,2014,Agricultural land,AG.LND.AGRI.K2,4518000
Japan,JPN,2013,Agricultural land,AG.LND.AGRI.K2,4538000
Japan,JPN,2012,Agricultural land,AG.LND.AGRI.K2,4549000
Japan,JPN,2011,Agricultural land,AG.LND.AGRI.K2,4561000
Japan,JPN,2010,Agricultural land,AG.LND.AGRI.K2,4593000
Japan,JPN,2009,Agricultural land,AG.LND.AGRI.K2,4609000
Japan,JPN,2008,Agricultural land,AG.LND.AGRI.K2,4628000
Japan,JPN,2007,Agricultural land,AG.LND.AGRI.K2,4650000
Japan,JPN,2006,Agricultural land,AG.LND.AGRI.K2,4671000
Japan,JPN,2005,Agricultural land,AG.LND.AGRI.K2,4692000
Japan,JPN,2004,Agricultural land,AG.LND.AGRI.K2,4714000
Japan,JPN,2003,Agricultural land,AG.LND.AGRI.K2,4736000
Japan,JPN,2002,Agricultural land,AG.LND.AGRI.K2,4763000
Japan,JPN,2001,Agricultural land,AG.LND.AGRI.K2,4793000
Japan,JPN,2000,Agricultural land,AG.LND.AGRI.K2,5258000
Japan,JPN,1999,Agricultural land,AG.LND.AGRI.K2,5271000
Japan,JPN,1998,Agricultural land,AG.LND.AGRI.K2,5310000
Japan,JPN,1997,Agricultural land,AG.LND.AGRI.K2,5354000
Japan,JPN,1996,Agricultural land,AG.LND.AGRI.K2,5399000
Japan,JPN,1995,Agricultural land,AG.LND.AGRI.K2,5443000
Japan,JPN,1994,Agricultural land,AG.LND.AGRI.K2,5533000
Japan,JPN,1993,Agricultural land,AG.LND.AGRI.K2,5574000
Japan,JPN,1992,Agricultural land,AG.LND.AGRI.K2,5615000
Japan,JPN,1991,Agricultural land,AG.LND.AGRI.K2,5654000
Japan,JPN,1990,Agricultural land,AG.LND.AGRI.K2,5693000
Japan,JPN,2020,Arable land,AG.LND.ARBL.HA,4104000
Japan,JPN,2019,Arable land,AG.LND.ARBL.HA,4124000
Japan,JPN,2018,Arable land,AG.LND.ARBL.HA,4142000
Japan,JPN,2017,Arable land,AG.LND.ARBL.HA,4161000
Japan,JPN,2016,Arable land,AG.LND.ARBL.HA,4184000
Japan,JPN,2015,Arable land,AG.LND.ARBL.HA,4205000
Japan,JPN,2014,Arable land,AG.LND.ARBL.HA,4222000
Japan,JPN,2013,Arable land,AG.LND.ARBL.HA,4238000
Japan,JPN,2012,Arable land,AG.LND.ARBL.HA,4246000
Japan,JPN,2011,Arable land,AG.LND.ARBL.HA,4254000
Japan,JPN,2010,Arable land,AG.LND.ARBL.HA,4282000
Japan,JPN,2009,Arable land,AG.LND.ARBL.HA,4294000
Japan,JPN,2008,Arable land,AG.LND.ARBL.HA,4308000
Japan,JPN,2007,Arable land,AG.LND.ARBL.HA,4326000
Japan,JPN,2006,Arable land,AG.LND.ARBL.HA,4343000
Japan,JPN,2005,Arable land,AG.LND.ARBL.HA,4360000
Japan,JPN,2004,Arable land,AG.LND.ARBL.HA,4379000
Japan,JPN,2003,Arable land,AG.LND.ARBL.HA,4397000
Japan,JPN,2002,Arable land,AG.LND.ARBL.HA,4419000
Japan,JPN,2001,Arable land,AG.LND.ARBL.HA,4444000
Japan,JPN,2000,Arable land,AG.LND.ARBL.HA,4474000
Japan,JPN,1999,Arable land,AG.LND.ARBL.HA,4503000
Japan,JPN,1998,Arable land,AG.LND.ARBL.HA,4535000
Japan,JPN,1997,Arable land,AG.LND.ARBL.HA,4569000
Japan,JPN,1996,Arable land,AG.LND.ARBL.HA,4602000
Japan,JPN,1995,Arable land,AG.LND.ARBL.HA,4630000
Japan,JPN,1994,Arable land,AG.LND.ARBL.HA,4660000
Japan,JPN,1993,Arable land,AG.LND.ARBL.HA,4685000
Japan,JPN,1992,Arable land,AG.LND.ARBL.HA,4714000
Japan,JPN,1991,Arable land,AG.LND.ARBL.HA,4740000
Japan,JPN,1990,Arable land,AG.LND.ARBL.HA,4768000
Japan,JPN,2020,Land under cereal production,AG.LND.CREL.HA,1805322
Japan,JPN,2019,Land under cereal production,AG.LND.CREL.HA,1809023
Japan,JPN,2018,Land under cereal production,AG.LND.CREL.HA,1807317
Japan,JPN,2017,Land under cereal production,AG.LND.CREL.HA,1894126
Japan,JPN,2016,Land under cereal production,AG.LND.CREL.HA,1906923
Japan,JPN,2015,Land under cereal production,AG.LND.CREL.HA,1922104
Japan,JPN,2014,Land under cereal production,AG.LND.CREL.HA,1942251
Japan,JPN,2013,Land under cereal production,AG.LND.CREL.HA,1952515
Japan,JPN,2012,Land under cereal production,AG.LND.CREL.HA,1947101
Japan,JPN,2011,Land under cereal production,AG.LND.CREL.HA,1939505
Japan,JPN,2010,Land under cereal production,AG.LND.CREL.HA,1956822
Japan,JPN,2009,Land under cereal production,AG.LND.CREL.HA,1936221
Japan,JPN,2008,Land under cereal production,AG.LND.CREL.HA,1940319
Japan,JPN,2007,Land under cereal production,AG.LND.CREL.HA,1983627
Japan,JPN,2006,Land under cereal production,AG.LND.CREL.HA,2006323
Japan,JPN,2005,Land under cereal production,AG.LND.CREL.HA,2020451
Japan,JPN,2004,Land under cereal production,AG.LND.CREL.HA,2018378
Japan,JPN,2003,Land under cereal production,AG.LND.CREL.HA,1985726
Japan,JPN,2002,Land under cereal production,AG.LND.CREL.HA,2002225
Japan,JPN,2001,Land under cereal production,AG.LND.CREL.HA,2006684
Japan,JPN,2000,Land under cereal production,AG.LND.CREL.HA,2045200
Japan,JPN,1999,Land under cereal production,AG.LND.CREL.HA,2047487
Japan,JPN,1998,Land under cereal production,AG.LND.CREL.HA,2054154
Japan,JPN,1997,Land under cereal production,AG.LND.CREL.HA,2197439
Japan,JPN,1996,Land under cereal production,AG.LND.CREL.HA,2220809
Japan,JPN,1995,Land under cereal production,AG.LND.CREL.HA,2352386
Japan,JPN,1994,Land under cereal production,AG.LND.CREL.HA,2448141
Japan,JPN,1993,Land under cereal production,AG.LND.CREL.HA,2424140
Japan,JPN,1992,Land under cereal production,AG.LND.CREL.HA,2430921
Japan,JPN,1991,Land under cereal production,AG.LND.CREL.HA,2413369
Japan,JPN,1990,Land under cereal production,AG.LND.CREL.HA,2471494
Japan,JPN,2020,Permanent cropland,AG.LND.CROP.ZS,267999.9999
Japan,JPN,2019,Permanent cropland,AG.LND.CROP.ZS,272999.9998
Japan,JPN,2018,Permanent cropland,AG.LND.CROP.ZS,278000.0002
Japan,JPN,2017,Permanent cropland,AG.LND.CROP.ZS,283000.0001
Japan,JPN,2016,Permanent cropland,AG.LND.CROP.ZS,287000.0002
Japan,JPN,2015,Permanent cropland,AG.LND.CROP.ZS,290999.9998
Japan,JPN,2014,Permanent cropland,AG.LND.CROP.ZS,296000.0001
Japan,JPN,2013,Permanent cropland,AG.LND.CROP.ZS,299999.9998
Japan,JPN,2012,Permanent cropland,AG.LND.CROP.ZS,302999.9999
Japan,JPN,2011,Permanent cropland,AG.LND.CROP.ZS,307000
Japan,JPN,2010,Permanent cropland,AG.LND.CROP.ZS,311000
Japan,JPN,2009,Permanent cropland,AG.LND.CROP.ZS,315000
Japan,JPN,2008,Permanent cropland,AG.LND.CROP.ZS,320000
Japan,JPN,2007,Permanent cropland,AG.LND.CROP.ZS,324000
Japan,JPN,2006,Permanent cropland,AG.LND.CROP.ZS,328000.0001
Japan,JPN,2005,Permanent cropland,AG.LND.CROP.ZS,332000.0001
Japan,JPN,2004,Permanent cropland,AG.LND.CROP.ZS,334999.9999
Japan,JPN,2003,Permanent cropland,AG.LND.CROP.ZS,338999.9999
Japan,JPN,2002,Permanent cropland,AG.LND.CROP.ZS,343999.9999
Japan,JPN,2001,Permanent cropland,AG.LND.CROP.ZS,349000.0002
Japan,JPN,2000,Permanent cropland,AG.LND.CROP.ZS,356000
Japan,JPN,1999,Permanent cropland,AG.LND.CROP.ZS,363000.0001
Japan,JPN,1998,Permanent cropland,AG.LND.CROP.ZS,369999.9999
Japan,JPN,1997,Permanent cropland,AG.LND.CROP.ZS,379999.9998
Japan,JPN,1996,Permanent cropland,AG.LND.CROP.ZS,391999.9999
Japan,JPN,1995,Permanent cropland,AG.LND.CROP.ZS,407999.9998
Japan,JPN,1994,Permanent cropland,AG.LND.CROP.ZS,423000.0001
Japan,JPN,1993,Permanent cropland,AG.LND.CROP.ZS,439000
Japan,JPN,1992,Permanent cropland,AG.LND.CROP.ZS,451000
Japan,JPN,1991,Permanent cropland,AG.LND.CROP.ZS,464000
Japan,JPN,1990,Permanent cropland,AG.LND.CROP.ZS,474999.9999
Japan,JPN,2020,Forest area,AG.LND.FRST.K2,24935000
Japan,JPN,2019,Forest area,AG.LND.FRST.K2,24935000
Japan,JPN,2018,Forest area,AG.LND.FRST.K2,24935000
Japan,JPN,2017,Forest area,AG.LND.FRST.K2,24935000
Japan,JPN,2016,Forest area,AG.LND.FRST.K2,24940000
